driver,workload,page,val,dist,ops,ns_per_op,ops_per_s
zombiezen,helem-drain,8192,512,zipf,200000,2675,373842
zombiezen,helem-get,8192,512,zipf,500000,2268,440980
zombiezen,pool-read-r4,8192,512,zipf,776936,2574,388468
zombiezen,pool-drain-r4,8192,512,zipf,126976,15751,63488
zombiezen,load,16384,16,uniform,200000,1345,743622
zombiezen,step,16384,16,uniform,500000,102,9795696
zombiezen,get-hot,16384,16,uniform,500000,1706,586179
zombiezen,get-cold,16384,16,uniform,500000,1747,572436
zombiezen,set,16384,16,uniform,50000,2962,337606
zombiezen,drain,16384,16,uniform,200000,1342,745316
zombiezen,helem-drain,16384,16,uniform,200000,1866,535782
zombiezen,helem-get,16384,16,uniform,500000,1851,540312
zombiezen,pool-read-r4,16384,16,uniform,1159326,1725,579663
zombiezen,pool-drain-r4,16384,16,uniform,253248,7897,126624
zombiezen,load,16384,16,zipf,200000,1334,749587
zombiezen,step,16384,16,zipf,500000,106,9473366
zombiezen,get-hot,16384,16,zipf,500000,1617,618319
zombiezen,get-cold,16384,16,zipf,500000,1619,617703
zombiezen,set,16384,16,zipf,50000,2935,340721
zombiezen,drain,16384,16,zipf,200000,1332,751019
zombiezen,helem-drain,16384,16,zipf,200000,1898,526960
zombiezen,helem-get,16384,16,zipf,500000,1799,556018
zombiezen,pool-read-r4,16384,16,zipf,1362367,1468,681184
zombiezen,pool-drain-r4,16384,16,zipf,240960,8300,120480
zombiezen,load,16384,128,uniform,200000,2194,455788
zombiezen,step,16384,128,uniform,500000,101,9891972
zombiezen,get-hot,16384,128,uniform,500000,1941,515066
zombiezen,get-cold,16384,128,uniform,500000,2005,498672
zombiezen,set,16384,128,uniform,50000,3024,330634
zombiezen,drain,16384,128,uniform,200000,1452,688788
zombiezen,helem-drain,16384,128,uniform,200000,2907,344035
zombiezen,helem-get,16384,128,uniform,500000,2020,495062
zombiezen,pool-read-r4,16384,128,uniform,742509,2694,371254
zombiezen,pool-drain-r4,16384,128,uniform,159744,12520,79872
zombiezen,load,16384,128,zipf,200000,2125,470585
zombiezen,step,16384,128,zipf,500000,107,9373117
zombiezen,get-hot,16384,128,zipf,500000,1649,606591
zombiezen,get-cold,16384,128,zipf,500000,1707,585669
zombiezen,set,16384,128,zipf,50000,3058,327010
zombiezen,drain,16384,128,zipf,200000,1453,688436
zombiezen,helem-drain,16384,128,zipf,200000,2871,348314
zombiezen,helem-get,16384,128,zipf,500000,1867,535740
zombiezen,pool-read-r4,16384,128,zipf,1071673,1866,535836
zombiezen,pool-drain-r4,16384,128,zipf,176128,11355,88064
zombiezen,load,16384,512,uniform,200000,3920,255083
zombiezen,step,16384,512,uniform,500000,102,9834917
zombiezen,get-hot,16384,512,uniform,500000,3277,305115
zombiezen,get-cold,16384,512,uniform,500000,3324,300860
zombiezen,set,16384,512,uniform,50000,3516,284424
zombiezen,drain,16384,512,uniform,200000,1886,530102
zombiezen,helem-drain,16384,512,uniform,200000,4559,219366
zombiezen,helem-get,16384,512,uniform,500000,3312,301931
zombiezen,pool-read-r4,16384,512,uniform,379306,5273,189653
zombiezen,pool-drain-r4,16384,512,uniform,102400,19531,51200
