cell,wl,value,keys,dist,conns,pipe,ab_ratio,rb_ratio,ratio,verdict,ab_aki_ops,ab_redis_ops,ab_valkey_ops,rb_aki_ops,rb_redis_ops,rb_valkey_ops,ab_aki_p99,ab_redis_p99,ab_valkey_p99,rb_aki_p99,rb_redis_p99,rb_valkey_p99,p99_x_best_rival,aki_rss_mb,redis_rss_mb,valkey_rss_mb,aki_bytes_per_key_rss,redis_bytes_per_key,valkey_bytes_per_key,ab_aki_MBps,resp_ver,p1c512_ratio,p1c512_aki_ops
p1_set_64b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltm_get,,,,,,,0.008,0.015,0.008,MISS,40253.631,4852416.908,4151837.458,45882.78,2982107.25,2392344.5,328204.287,2164.735,2584.575,184959.0,3151.0,5199.0,151.614,2272.4,570.6,573.7,,523.611,517.469,42.972,2,0.031,32103.365
ltm_set,,,,,,,0.015,,0.015,MISS,63680.859,4100162.203,2717339.311,,,,186646.527,2543.615,4091.903,,,,73.378,1383.2,530.8,562.3,,319.926,213.649,68.311,2,0.027,26873.322
sweep_set_256b_zipf,,,,,,,0.942,,0.942,MISS,4183824.435,4442208.305,2846224.922,,,,4093.951,2467.839,3575.807,,,,1.659,137.2,26.9,22.8,,12.019,8.947,1236.827,2,,
sweep_get_256b_zipf,,,,,,,0.774,,0.774,MISS,4066486.754,5255298.088,3994399.325,,,,4106.239,2168.831,2805.759,,,,1.893,733.1,367.5,375.1,,367.533,371.112,1181.81,2,,
sweep_set_4k_zipf,,,,,,,1.058,,1.058,MISS,1654733.082,1564346.889,1534502.506,,,,10002.431,7774.207,6111.231,,,,1.637,8568.4,91.7,101.9,,64.959,62.725,6876.453,2,,
sweep_get_4k_zipf,,,,,,,0.665,,0.665,MISS,1273639.998,1916644.471,830444.687,,,,13467.647,9338.879,11493.375,,,,1.442,15468.5,4983.2,5066.0,,5167.533,5171.105,5262.22,2,,
sweep_set_64b_c50,,,,,,,0.789,,0.789,MISS,2589098.154,3280379.202,2807149.619,,,,663.039,521.983,492.031,,,,1.348,92.5,83.0,57.2,,75.393,50.759,273.125,2,,
sweep_get_64b_c50,,,,,,,0.689,,0.689,MISS,2674357.88,3416038.584,3881346.711,,,,651.775,501.503,407.807,,,,1.598,174.4,132.3,122.6,,127.537,115.118,268.791,2,,
sweep_mixed_64b,,,,,,,0.826,,0.826,MISS,4385570.764,5308087.042,4002223.742,,,,3930.111,2136.063,2592.767,,,,1.84,340.0,136.0,124.8,,127.531,115.119,437.844,2,,
all32_set_64b,,,,,,,1.154,,1.154,MISS,5703893.966,4942449.893,2970068.676,,,,2822.143,2449.407,3846.143,,,,1.152,,,,,11.505,6.757,592.494,2,,
all32_get_64b,,,,,,,1.098,,1.098,MISS,6133482.139,5586777.409,4271677.041,,,,2592.767,2195.455,2877.439,,,,1.181,,,,,127.527,115.112,606.504,2,,
