arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,90,128,uniform,4,2,valkey redis aki,2354696,valkey,valkey 9.1.0,2694373.8,941031.0,0.3493,265.983,3729.407,133977728,242597888,0,0.274
cap,90,128,uniform,16,1,aki redis valkey,9418787,sqlo1,,978261.2,978261.2,1,256.511,6238.207,0,4482359296,0,1
cap,90,128,uniform,16,1,aki redis valkey,9418787,redis,redis 8.8.0,2223518.7,373738.7,0.1681,327.679,2547.711,133848456,242749440,0,0.065
cap,90,128,uniform,16,1,aki redis valkey,9418787,valkey,valkey 9.1.0,2709540.8,456435.7,0.1685,263.679,3700.735,134037408,203407360,0,0.0735
cap,90,128,uniform,16,2,valkey redis aki,9418787,sqlo1,,959793.4,959793.4,1,257.663,6316.031,0,4825083904,0,1
cap,90,128,uniform,16,2,valkey redis aki,9418787,redis,redis 8.8.0,2191498.1,368754.3,0.1683,330.751,2603.007,133784640,242499584,0,0.068
cap,90,128,uniform,16,2,valkey redis aki,9418787,valkey,valkey 9.1.0,2674655.6,449920.3,0.1682,267.007,3645.439,134035160,244465664,0,0.0635
cap,90,128,zipfian,1,1,aki redis valkey,588674,sqlo1,,1481560.7,1481560.7,1,523.519,3217.407,0,408141824,0,1
cap,90,128,zipfian,1,1,aki redis valkey,588674,redis,redis 8.8.0,2471763.4,2471763.4,1,305.663,2783.231,125058232,144707584,0,1
cap,90,128,zipfian,1,1,aki redis valkey,588674,valkey,valkey 9.1.0,2891371.1,2891371.1,1,223.615,3823.615,123763664,172699648,0,1
cap,90,128,zipfian,1,2,valkey redis aki,588674,sqlo1,,1483032.9,1483032.9,1,521.471,3215.359,0,409075712,0,1
cap,90,128,zipfian,1,2,valkey redis aki,588674,redis,redis 8.8.0,2378145.8,2378145.8,1,316.671,2926.591,125059416,144285696,0,1
cap,90,128,zipfian,1,2,valkey redis aki,588674,valkey,valkey 9.1.0,2886577.1,2886577.1,1,222.335,3913.727,123762192,172670976,0,1
cap,90,128,zipfian,4,1,aki redis valkey,2354696,sqlo1,,1312045.9,1312045.9,1,593.407,3659.775,0,1437642752,0,1
cap,90,128,zipfian,4,1,aki redis valkey,2354696,redis,redis 8.8.0,2378906.9,2025385.3,0.8514,317.183,2766.847,133651784,211308544,0,0.265
cap,90,128,zipfian,4,1,aki redis valkey,2354696,valkey,valkey 9.1.0,2754665.4,2373107.1,0.8615,245.759,3862.527,133932048,255803392,0,0.2605
cap,90,128,zipfian,4,2,valkey redis aki,2354696,sqlo1,,1318794.4,1318794.4,1,595.967,3631.103,0,1497255936,0,1
cap,90,128,zipfian,4,2,valkey redis aki,2354696,redis,redis 8.8.0,2276430.6,1933814.8,0.8495,332.799,2828.287,133624920,209948672,0,0.2615
cap,90,128,zipfian,4,2,valkey redis aki,2354696,valkey,valkey 9.1.0,2754063.8,2371776.5,0.8612,247.167,3768.319,133937872,262180864,0,0.261
cap,90,128,zipfian,16,1,aki redis valkey,9418787,sqlo1,,1093022.1,1093022.1,1,385.023,5083.135,0,4877594624,0,1
cap,90,128,zipfian,16,1,aki redis valkey,9418787,redis,redis 8.8.0,2326628.6,1777596.7,0.764,322.303,2748.415,133668552,248672256,0,0.0765
cap,90,128,zipfian,16,1,aki redis valkey,9418787,valkey,valkey 9.1.0,2667516.8,2043334.7,0.766,261.119,3708.927,133909648,262774784,0,0.0785
cap,90,128,zipfian,16,2,valkey redis aki,9418787,sqlo1,,1111648.9,1111648.9,1,430.079,4898.815,0,4734681088,0,1
cap,90,128,zipfian,16,2,valkey redis aki,9418787,redis,redis 8.8.0,2289289.6,1739366.0,0.7598,332.287,2670.591,133612712,242946048,0,0.076
cap,90,128,zipfian,16,2,valkey redis aki,9418787,valkey,valkey 9.1.0,2723433.0,2101217.0,0.7715,251.775,3737.599,133920720,277397504,0,0.0795
cap,90,512,uniform,1,1,aki redis valkey,219310,sqlo1,,1160659.2,1160659.2,1,359.423,4722.687,0,318451712,0,1
cap,90,512,uniform,1,1,aki redis valkey,219310,redis,redis 8.8.0,2254680.4,1992502.8,0.8837,349.439,2748.415,132788696,219938816,0,0.871
cap,90,512,uniform,1,1,aki redis valkey,219310,valkey,valkey 9.1.0,2288470.7,2030065.1,0.8871,328.703,3827.711,133015832,265076736,0,0.87
cap,90,512,uniform,1,2,valkey redis aki,219310,sqlo1,,1177970.8,1177970.8,1,373.503,4612.095,0,319528960,0,1
cap,90,512,uniform,1,2,valkey redis aki,219310,redis,redis 8.8.0,2195853.9,1940293.1,0.8836,357.887,2775.039,132804048,219529216,0,0.8695
cap,90,512,uniform,1,2,valkey redis aki,219310,valkey,valkey 9.1.0,2303190.5,2043594.5,0.8873,327.679,3735.551,133010624,266559488,0,0.868
cap,90,512,uniform,4,1,aki redis valkey,877240,sqlo1,,1074767.9,1074767.9,1,276.479,5324.799,0,1199943680,0,1
cap,90,512,uniform,4,1,aki redis valkey,877240,redis,redis 8.8.0,2285936.4,685083.9,0.2997,339.199,2570.239,133391776,267960320,0,0.2285
cap,90,512,uniform,4,1,aki redis valkey,877240,valkey,valkey 9.1.0,2590669.6,778577.7,0.3005,288.255,3528.703,133626640,323010560,0,0.237
cap,90,512,uniform,4,2,valkey redis aki,877240,sqlo1,,1084170.0,1084170.0,1,278.783,5279.743,0,1198600192,0,1
cap,90,512,uniform,4,2,valkey redis aki,877240,redis,redis 8.8.0,2169062.3,648963.1,0.2992,355.583,2744.319,133330536,269512704,0,0.223
cap,90,512,uniform,4,2,valkey redis aki,877240,valkey,valkey 9.1.0,2570872.8,772379.3,0.3004,289.535,3655.679,133639720,323768320,0,0.225
cap,90,512,uniform,16,1,aki redis valkey,3508960,sqlo1,,924380.5,924380.5,1,260.351,6619.135,0,4028968960,0,1
cap,90,512,uniform,16,1,aki redis valkey,3508960,redis,redis 8.8.0,2271415.8,343565.6,0.1513,339.711,2590.719,133579264,245252096,0,0.0485
cap,90,512,uniform,16,1,aki redis valkey,3508960,valkey,valkey 9.1.0,2610999.1,396770.5,0.152,282.623,3592.191,133797632,296333312,0,0.058
