arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,10,16,zipfian,1,2,valkey redis aki,1157049,f3,unknown,1765649.5,1765649.5,1,381.695,3571.711,73639088,106119168,0,1
cap,10,16,zipfian,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2322009.1,2322009.1,1,323.583,2981.887,86496208,112844800,0,1
cap,10,16,zipfian,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,2480298.8,2480298.8,1,283.135,3870.719,74482640,86269952,0,1
cap,10,16,zipfian,16,1,aki redis valkey,18512790,f3,unknown,469649.1,469649.1,1,2127.871,3493.887,1179571360,1364017152,0,1
cap,10,16,zipfian,16,1,aki redis valkey,18512790,redis,redis 8.8.0,1756965.3,1720151.1,0.979,381.183,2844.671,133808856,154218496,0,0.09
cap,10,16,zipfian,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,1805858.8,1771005.4,0.9807,444.415,3123.199,134004840,149147648,0,0.1085
cap,10,16,zipfian,16,2,valkey redis aki,18512790,f3,unknown,469161.1,469161.1,1,2127.871,3540.991,1179571360,1385553920,0,1
cap,10,16,zipfian,16,2,valkey redis aki,18512790,redis,redis 8.8.0,1745836.7,1709140.7,0.979,381.183,2918.399,133762424,154710016,0,0.0945
cap,10,16,zipfian,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,1767049.5,1731853.4,0.9801,453.631,3108.863,134025216,148983808,0,0.12
cap,10,16,zipfian,4,1,aki redis valkey,4628197,f3,unknown,517721.9,517721.9,1,1927.167,3211.263,294814896,364507136,0,1
cap,10,16,zipfian,4,1,aki redis valkey,4628197,redis,redis 8.8.0,2033863.7,2014686.0,0.9906,351.231,2916.351,133779480,153333760,0,0.404
cap,10,16,zipfian,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,2100260.9,2081019.8,0.9908,353.535,3620.863,134014648,149381120,0,0.477
cap,10,16,zipfian,4,2,valkey redis aki,4628197,f3,unknown,520469.3,520469.3,1,1918.975,3192.831,294814896,362897408,0,1
cap,10,16,zipfian,4,2,valkey redis aki,4628197,redis,redis 8.8.0,2017232.0,1998103.9,0.9905,349.951,3031.039,133757944,153161728,0,0.401
cap,10,16,zipfian,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,2103340.0,2087492.2,0.9925,357.631,3497.983,133989280,148054016,0,0.472
cap,10,4096,uniform,1,1,aki redis valkey,31987,f3,unknown,863055.9,863055.9,1,662.015,4759.551,137195152,909012992,23797760,1
cap,10,4096,uniform,1,1,aki redis valkey,31987,redis,redis 8.8.0,1032319.8,1010082.7,0.9785,447.743,4898.815,131313784,236326912,0,0.783
cap,10,4096,uniform,1,1,aki redis valkey,31987,valkey,valkey 9.1.0,1304714.6,1276772.1,0.9786,311.039,5492.735,131616264,353415168,0,0.7785
cap,10,4096,uniform,1,2,valkey redis aki,31987,f3,unknown,862499.3,862499.3,1,663.039,4812.799,130879120,909398016,21716992,1
cap,10,4096,uniform,1,2,valkey redis aki,31987,redis,redis 8.8.0,996315.3,974921.7,0.9785,463.359,5189.631,131259240,239132672,0,0.792
cap,10,4096,uniform,1,2,valkey redis aki,31987,valkey,valkey 9.1.0,1295008.8,1267355.7,0.9786,313.087,5472.255,131158200,360779776,0,0.776
cap,10,4096,uniform,16,1,aki redis valkey,511793,f3,unknown,415634.2,415634.2,1,768.511,5300.223,142654896,886009856,2636697600,1
cap,10,4096,uniform,16,1,aki redis valkey,511793,redis,redis 8.8.0,928306.7,840163.6,0.905,489.983,5169.151,131735832,238383104,0,0.0445
cap,10,4096,uniform,16,1,aki redis valkey,511793,valkey,valkey 9.1.0,978640.1,885688.0,0.905,454.399,5631.999,131768728,358658048,0,0.0515
cap,10,4096,uniform,16,2,valkey redis aki,511793,f3,unknown,395254.1,395254.1,1,820.223,5849.087,139832752,886853632,3496529920,1
cap,10,4096,uniform,16,2,valkey redis aki,511793,redis,redis 8.8.0,883107.6,799265.0,0.9051,505.599,5619.711,131747840,237875200,0,0.045
cap,10,4096,uniform,16,2,valkey redis aki,511793,valkey,valkey 9.1.0,977731.3,884889.1,0.905,441.343,5767.167,131761016,364728320,0,0.0455
cap,10,4096,uniform,4,1,aki redis valkey,127948,f3,unknown,411448.7,411448.7,1,868.351,43974.655,137855936,895139840,531226624,1
cap,10,4096,uniform,4,1,aki redis valkey,127948,redis,redis 8.8.0,915473.5,842132.2,0.9199,495.871,5173.247,131726032,236023808,0,0.194
cap,10,4096,uniform,4,1,aki redis valkey,127948,valkey,valkey 9.1.0,1036956.8,953843.6,0.9198,425.727,5636.095,131768176,344981504,0,0.197
cap,10,4096,uniform,4,2,valkey redis aki,127948,f3,unknown,423957.7,423957.7,1,860.159,43384.831,135193536,892772352,761880576,1
cap,10,4096,uniform,4,2,valkey redis aki,127948,redis,redis 8.8.0,885592.1,814581.6,0.9198,513.279,5476.351,131689552,236797952,0,0.1995
cap,10,4096,uniform,4,2,valkey redis aki,127948,valkey,valkey 9.1.0,1026537.8,944282.4,0.9199,430.335,5648.383,131747240,346861568,0,0.1945
cap,10,4096,zipfian,1,1,aki redis valkey,31987,f3,unknown,1343881.9,1343881.9,1,488.959,3885.055,133770896,913670144,23801856,1
cap,10,4096,zipfian,1,1,aki redis valkey,31987,redis,redis 8.8.0,1179505.2,1175930.7,0.997,363.263,5054.463,131024280,238690304,0,0.7845
