store,chunk_kib,mix,dist,keys,val_mb,workload,ops,ns_per_op,ops_per_s,p50_ns,p99_ns,max_ns,wa,file_mb,wal_mb,vmhwm_mb
a,64,getrange,uniform,32,8,load,32,15926786,63,0,0,0,0.0,260.7,0.0,0.0
a,64,getrange,uniform,32,8,getrange-write,19967,85088,11753,80583,187291,1756375,1008.1,0.0,0.0,0.0
a,64,getrange,uniform,32,8,getrange-read,180033,86054,11621,79167,189000,8330042,0.0,0.0,0.0,0.0
a,64,getrange,uniform,32,8,flush,154,12439297,80,0,0,20311875,0.0,260.7,8.0,0.0
a,64,setbit,zipf,32,8,load,32,16983102,59,0,0,0,0.0,260.8,0.0,0.0
a,64,setbit,zipf,32,8,setbit-write,179978,75904,13174,81209,189125,7387083,56547.0,0.0,0.0,0.0
a,64,setbit,zipf,32,8,setbit-read,20022,72582,13778,78958,165875,2024125,0.0,0.0,0.0,0.0
a,64,setbit,zipf,32,8,flush,1214,11615121,86,0,0,43733083,0.0,260.8,9.0,0.0
b,8,setrange,uniform,32,8,load,32,22968008,44,0,0,0,0.0,392.0,0.0,0.0
b,8,setrange,uniform,32,8,setrange-write,180033,4667,214277,4000,20416,680791,127.0,0.0,0.0,0.0
b,8,setrange,uniform,32,8,setrange-read,19967,6290,158989,5917,25167,318333,0.0,0.0,0.0,0.0
b,8,setrange,uniform,32,8,flush,175,25742892,39,0,0,77263000,0.0,2504.0,192.0,0.0
b,8,append,uniform,32,8,load,32,807754,1238,0,0,0,0.0,8.0,0.0,0.0
b,8,append,uniform,32,8,append-write,179928,37,27282263,41,125,37042,1.0,0.0,0.0,0.0
b,8,append,uniform,32,8,append-read,20072,3913,255537,2959,26250,113958,0.0,0.0,0.0,0.0
b,8,append,uniform,32,8,flush,2,14994875,67,0,0,21516458,0.0,24.0,64.0,0.0
b,8,setbit,uniform,32,8,load,32,23223293,43,0,0,0,0.0,400.0,0.0,0.0
b,8,setbit,uniform,32,8,setbit-write,179968,4509,221796,4000,11750,303500,8059.5,0.0,0.0,0.0
b,8,setbit,uniform,32,8,setbit-read,20032,3810,262454,3417,9333,137000,0.0,0.0,0.0,0.0
b,8,setbit,uniform,32,8,flush,173,25077895,40,0,0,76269250,0.0,2528.0,192.0,0.0
b,8,getrange,uniform,32,8,load,32,22879095,44,0,0,0,0.0,392.0,0.0,0.0
b,8,getrange,uniform,32,8,getrange-write,19967,4246,235519,3791,15542,123709,127.0,0.0,0.0,0.0
b,8,getrange,uniform,32,8,getrange-read,180033,5747,174012,5541,19291,263625,0.0,0.0,0.0,0.0
b,8,getrange,uniform,32,8,flush,20,22851911,44,0,0,58953917,0.0,632.0,128.0,0.0
b,8,setbit,zipf,32,8,load,32,23343419,43,0,0,0,0.0,400.0,0.0,0.0
b,8,setbit,zipf,32,8,setbit-write,179987,2976,336032,3542,9875,270709,5209.9,0.0,0.0,0.0
b,8,setbit,zipf,32,8,setbit-read,20013,2543,393308,3042,8583,155834,0.0,0.0,0.0,0.0
b,8,setbit,zipf,32,8,flush,112,37630757,27,0,0,202080958,0.0,1776.0,192.0,0.0
b,16,setrange,uniform,32,8,load,32,39915555,25,0,0,0,0.0,328.0,0.0,0.0
